"Symbol","year","month","month_name","avg_price","total_volume","avg_return"
"MSFT","2024","4","April    ","407.95","441083800","-0.44"
"META","2023","6","June     ","275.14","481150500","0.46"
"AMZN","2023","2","February ","99.21","1364102000","0.11"
"GOOGL","2025","4","April    ","154.13","842648300","0.34"
"AAPL","2023","12","December ","192.49","1063181200","0.05"
"TSLA","2024","1","January  ","216.13","2344213400","-0.60"
"AAPL","2024","5","May      ","184.95","1336511300","-0.08"
"AAPL","2025","4","April    ","200.50","1607318600","0.81"
"NVDA","2025","12","December ","182.14","3509593200","0.13"
"META","2024","12","December ","606.37","263222700","-0.09"
"AMZN","2025","7","July     ","226.30","856016400","-0.02"
"AAPL","2025","2","February ","237.63","862272300","0.49"
"MSFT","2024","11","November ","415.29","442306200","0.32"
"MSFT","2025","3","March    ","385.58","491786600","0.11"
"GOOGL","2024","5","May      ","170.71","542386500","0.38"
"NVDA","2023","7","July     ","44.73","8706845000","-0.12"
"AMZN","2023","8","August   ","135.50","1210688300","-0.17"
"AAPL","2025","6","June     ","200.24","1100409300","-0.12"
"GOOGL","2025","11","November ","292.73","855278300","0.00"
"AAPL","2024","3","March    ","171.30","1433151800","-0.05"
"AMZN","2023","11","November ","143.46","1026039500","0.38"
"META","2023","9","September","299.03","406770000","-0.02"
"META","2025","8","August   ","760.83","224528100","-0.11"
"META","2025","3","March    ","607.53","363413500","-0.65"
"META","2024","11","November ","568.65","237791800","0.05"
"NVDA","2023","5","May      ","31.03","11697819000","0.40"
"MSFT","2023","12","December ","367.11","522081700","0.15"
"AAPL","2024","2","February ","183.21","1161553500","0.07"
"MSFT","2025","9","September","507.00","424025500","-0.03"
"TSLA","2025","12","December ","462.08","1586865900","0.09"
"TSLA","2024","8","August   ","209.01","1618373100","-0.08"
"GOOGL","2025","9","September","242.34","829465500","0.30"
"AMZN","2024","11","November ","204.51","905835300","0.31"
"MSFT","2023","3","March    ","261.17","747635000","0.35"
"MSFT","2023","11","November ","362.60","563894000","0.35"
"NVDA","2025","9","September","175.73","3890495300","0.36"
"META","2025","10","October  ","719.03","411788600","-0.21"
"META","2024","4","April    ","488.95","437279500","-0.20"
"MSFT","2025","1","January  ","425.27","462501200","0.04"
"MSFT","2023","10","October  ","323.45","540950200","-0.01"
"AMZN","2023","12","December ","149.82","931322200","0.21"
"META","2024","3","March    ","494.78","279596300","-0.30"
"NVDA","2025","8","August   ","179.39","3608891200","0.15"
"META","2023","8","August   ","297.78","424505900","-0.17"
"AAPL","2025","10","October  ","258.05","1097142200","-0.08"
"GOOGL","2023","11","November ","132.38","535233300","0.21"
"META","2024","5","May      ","465.02","282471200","0.54"
"AAPL","2024","1","January  ","185.97","1187490800","0.08"
"GOOGL","2025","12","December ","312.44","661831000","-0.18"
"AMZN","2024","9","September","184.87","764950500","-0.03"
"GOOGL","2025","6","June     ","172.24","847382400","0.04"
"TSLA","2025","2","February ","343.34","1581998600","-1.18"
"MSFT","2023","5","May      ","308.25","600856900","0.12"
"GOOGL","2024","7","July     ","179.44","526128300","-0.29"
"AAPL","2024","10","October  ","228.77","930736000","-0.04"
"NVDA","2024","12","December ","137.18","4085855200","-0.15"
"TSLA","2023","9","September","256.97","2440441700","-0.10"
"AAPL","2025","1","January  ","233.53","1200176400","-0.19"
"META","2025","7","July     ","715.00","273103200","-0.53"
"GOOGL","2024","10","October  ","164.57","569309100","-0.26"
"MSFT","2025","12","December ","483.88","480956900","0.24"
"MSFT","2025","4","April    ","376.21","563144100","0.55"
"AAPL","2024","9","September","222.51","1232097700","0.02"
"META","2023","4","April    ","215.69","446687900","0.25"
"NVDA","2024","11","November ","142.46","4497414600","-0.30"
"GOOGL","2024","3","March    ","141.38","672715700","0.06"
"AMZN","2024","6","June     ","186.08","810555700","0.37"
"MSFT","2024","5","May      ","412.58","413780000","0.14"
"MSFT","2023","2","February ","253.93","615501000","-0.11"
"META","2023","3","March    ","192.60","690053000","0.43"
"META","2024","2","February ","467.12","466206300","0.32"
"META","2024","10","October  ","578.99","265878300","-0.30"
"TSLA","2023","3","March    ","188.52","3311619900","0.10"
"NVDA","2023","3","March    ","25.09","11263731000","0.56"
"META","2023","12","December ","336.60","334625900","0.47"
"GOOGL","2025","2","February ","183.60","629376900","-0.47"
"AAPL","2024","11","November ","226.72","891588300","0.48"
"MSFT","2025","7","July     ","504.52","396881900","-0.10"
"AMZN","2024","2","February ","171.00","1045002200","0.45"
"MSFT","2023","4","April    ","282.61","551520000","0.27"
"AMZN","2025","5","May      ","200.16","937262700","0.09"
"MSFT","2024","8","August   ","408.36","451919000","-0.15"
"TSLA","2024","3","March    ","176.16","1899578200","-0.43"
"AMZN","2024","4","April    ","181.17","917138300","-0.32"
"NVDA","2025","6","June     ","145.67","3821296800","0.44"
"NVDA","2023","9","September","44.29","8579273000","-0.38"
"GOOGL","2024","1","January  ","142.76","581871000","0.22"
"TSLA","2023","11","November ","229.41","2651052200","0.21"
"META","2024","9","September","534.91","246415200","0.04"
"AMZN","2023","9","September","135.44","1120505300","-0.13"
"AMZN","2024","12","December ","224.10","760891000","0.15"
"AMZN","2023","1","January  ","94.22","1523798600","0.84"
"MSFT","2023","9","September","320.60","416742300","-0.17"
"AMZN","2024","3","March    ","176.82","702056800","-0.05"
"GOOGL","2025","8","August   ","201.78","617570900","0.51"
"NVDA","2023","1","January  ","17.25","9454960000","1.56"
"GOOGL","2025","1","January  ","194.57","500334600","0.17"
"TSLA","2025","4","April    ","257.15","2957985600","1.49"
"TSLA","2025","9","September","395.89","1973602100","0.50"
"AAPL","2024","12","December ","248.20","977916100","0.41"
"META","2023","5","May      ","241.67","487130000","0.50"
"GOOGL","2023","3","March    ","97.32","859933900","0.66"
"AMZN","2025","3","March    ","198.51","966721800","-0.14"
"MSFT","2024","2","February ","403.39","444091200","0.08"
"AMZN","2025","4","April    ","181.21","1313093300","0.79"
"AMZN","2023","7","July     ","130.82","1058873500","-0.10"
"TSLA","2023","4","April    ","176.96","2505176300","-0.36"
"NVDA","2025","4","April    ","105.45","6811006400","1.04"
"AAPL","2024","7","July     ","223.08","1153099800","0.02"
"GOOGL","2023","6","June     ","121.61","656851900","0.16"
"AAPL","2023","10","October  ","172.81","1172816900","0.37"
"AMZN","2025","8","August   ","224.67","877658700","0.20"
"AAPL","2023","7","July     ","190.10","996114000","-0.05"
"AMZN","2025","10","October  ","222.15","1196876800","-0.09"
"AMZN","2025","2","February ","225.85","783613700","-0.33"
"MSFT","2023","7","July     ","335.28","666746800","-0.11"
"AAPL","2025","12","December ","276.52","897235200","-0.09"
"AMZN","2025","1","January  ","228.02","652577000","0.04"
"TSLA","2024","6","June     ","182.22","1405077400","0.19"
"TSLA","2025","3","March    ","255.81","2718957500","-0.25"
"NVDA","2023","6","June     ","40.89","10527050000","0.34"
"MSFT","2024","12","December ","436.19","439902400","0.14"
"AMZN","2024","10","October  ","186.83","733878800","-0.09"
"MSFT","2025","10","October  ","520.23","468447000","-0.17"
"GOOGL","2024","12","December ","186.00","645610200","0.40"
"GOOGL","2023","2","February ","95.69","952580200","0.10"
"TSLA","2024","7","July     ","240.62","2946114300","0.48"
"TSLA","2024","5","May      ","177.23","1668119300","-0.13"
"TSLA","2023","6","June     ","246.09","3442689200","0.90"
"GOOGL","2025","10","October  ","254.01","729575900","0.20"
"AAPL","2025","11","November ","271.59","877578200","0.31"
"NVDA","2024","3","March    ","89.40","12149218000","0.12"
"TSLA","2023","10","October  ","236.91","2591021000","-0.25"
"TSLA","2025","6","June     ","323.89","2428761900","-0.66"
"NVDA","2024","5","May      ","96.17","9645174000","0.36"
"AMZN","2025","6","June     ","213.02","870687900","-0.02"
"NVDA","2024","8","August   ","117.07","8105367800","0.38"
"MSFT","2025","11","November ","496.15","479480700","-0.20"
"AMZN","2023","4","April    ","103.34","1224234500","-0.05"
"NVDA","2023","4","April    ","27.13","7436450000","0.02"
"AMZN","2023","10","October  ","128.28","1224668600","0.10"
"META","2025","12","December ","656.54","327325800","0.10"
"META","2023","10","October  ","308.71","511352700","0.03"
"NVDA","2024","2","February ","72.51","11061356000","0.22"
"AAPL","2023","1","January  ","133.76","1443652500","0.47"
"TSLA","2024","9","September","235.16","1611148200","0.39"
"NVDA","2024","4","April    ","85.66","10072334000","-0.40"
"AAPL","2024","8","August   ","220.32","1122667000","0.44"
"META","2025","6","June     ","697.17","254756800","0.19"
"META","2024","1","January  ","371.32","347235200","0.34"
"AAPL","2023","8","August   ","179.07","1322657800","-0.17"
"MSFT","2025","2","February ","405.40","432448900","-0.11"
"AMZN","2024","5","May      ","184.18","892274700","-0.06"
"NVDA","2023","12","December ","48.04","7411887000","0.19"
"TSLA","2023","8","August   ","242.33","2502358000","0.16"
"GOOGL","2023","9","September","133.30","477599300","-0.01"
"AMZN","2024","1","January  ","153.62","954015000","0.12"
"GOOGL","2024","6","June     ","176.60","460108700","0.25"
"META","2023","7","July     ","301.04","625139900","-0.37"
"AAPL","2023","2","February ","148.87","1307198900","0.50"
"TSLA","2023","12","December ","247.14","2295511900","0.11"
"META","2023","11","November ","326.21","329280700","0.37"
"NVDA","2025","5","May      ","127.29","4756803800","0.40"
"GOOGL","2023","5","May      ","115.25","820611200","0.42"
"AMZN","2025","11","November ","236.27","902272800","-0.47"
"AAPL","2023","3","March    ","152.90","1520266600","0.33"
"TSLA","2025","5","May      ","323.86","2195384900","0.48"
"META","2024","8","August   ","513.64","323379200","0.20"
"GOOGL","2025","3","March    ","164.86","732152300","-0.10"
"MSFT","2025","6","June     ","476.87","401255100","0.35"
"AAPL","2025","8","August   ","224.36","1218079100","0.17"
"NVDA","2023","2","February ","22.02","10393479000","0.87"
"TSLA","2024","4","April    ","165.87","2481452200","0.29"
"TSLA","2025","1","January  ","405.02","1510371900","-0.14"
"MSFT","2024","9","September","420.29","376898100","-0.13"
"META","2025","5","May      ","624.17","292454900","0.16"
"TSLA","2025","11","November ","424.54","1628434400","-0.22"
"MSFT","2023","8","August   ","318.75","479476200","-0.24"
"META","2025","1","January  ","629.67","317914400","0.44"
"GOOGL","2025","5","May      ","163.93","942494200","-0.12"
"AMZN","2023","5","May      ","111.94","1433039100","0.32"
"AAPL","2023","9","September","175.12","1337823000","-0.32"
"META","2024","7","July     ","489.88","324005400","-0.40"
"AAPL","2024","4","April    ","168.23","1246144100","-0.03"
"TSLA","2023","7","July     ","273.51","2393089100","-0.38"
"MSFT","2023","1","January  ","231.74","666168100","0.33"
"NVDA","2025","7","July     ","168.04","3596804400","-0.02"
"TSLA","2024","2","February ","192.79","2019844700","0.59"
"AAPL","2025","9","September","242.25","1265536400","0.24"
"AAPL","2024","6","June     ","204.87","1717952100","0.16"
"MSFT","2024","7","July     ","440.40","440449200","-0.15"
"AMZN","2024","8","August   ","172.39","971023900","-0.02"
"META","2025","2","February ","697.02","298418700","0.00"
"TSLA","2024","10","October  ","238.78","1910807800","-0.28"
"NVDA","2024","7","July     ","121.86","6405438600","-0.73"
"TSLA","2024","12","December ","415.96","1903365900","0.22"
"TSLA","2025","8","August   ","331.14","1603195500","0.23"
"AAPL","2025","3","March    ","221.95","1115239500","-0.13"
"GOOGL","2023","10","October  ","133.17","680747700","0.10"
"NVDA","2025","3","March    ","114.90","6177950300","-0.29"
"TSLA","2024","11","November ","318.22","2091452000","0.09"
"AMZN","2024","7","July     ","190.33","868061100","-0.42"
"MSFT","2024","3","March    ","411.43","426445300","0.02"
"GOOGL","2023","4","April    ","104.92","604106300","0.31"
"AMZN","2025","9","September","228.09","965100000","-0.45"
"GOOGL","2023","12","December ","134.56","619995600","0.20"
"GOOGL","2024","2","February ","141.76","647623800","0.00"
"MSFT","2023","6","June     ","328.38","547702200","0.20"
"MSFT","2025","5","May      ","446.18","476942400","0.23"
"MSFT","2025","8","August   ","514.80","454888500","-0.40"
"GOOGL","2023","7","July     ","122.13","708341900","-0.06"
"TSLA","2023","5","May      ","175.80","2682606200","0.57"
"AAPL","2023","11","November ","184.06","1099651600","0.35"
"NVDA","2024","9","September","115.01","6271163200","0.00"
"META","2023","2","February ","175.26","772170900","0.31"
"GOOGL","2024","9","September","157.35","532543100","-0.39"
"NVDA","2023","8","August   ","45.22","13632152000","-0.11"
"AMZN","2023","6","June     ","126.38","1242936000","0.16"
"NVDA","2025","11","November ","187.97","4160148300","-0.66"
"AAPL","2025","5","May      ","203.43","1195728200","-0.09"
"GOOGL","2025","7","July     ","184.65","860114400","0.12"
"NVDA","2023","11","November ","47.50","9144618000","0.20"
"NVDA","2024","1","January  ","56.23","9706237000","0.70"
"MSFT","2024","6","June     ","433.48","341717100","0.37"
"NVDA","2024","10","October  ","134.28","5627917200","-0.02"
"AAPL","2025","7","July     ","210.84","1079935600","-0.02"
"NVDA","2024","6","June     ","124.53","7424176700","0.09"
"AAPL","2023","6","June     ","182.07","1297383300","0.33"
"GOOGL","2024","8","August   ","162.53","550739500","0.00"
"MSFT","2024","1","January  ","383.73","528491200","0.09"
"TSLA","2023","1","January  ","134.20","3897499400","1.50"
"META","2025","4","April    ","532.33","451371800","0.42"
"NVDA","2025","2","February ","130.32","4755230400","-0.08"
"GOOGL","2023","8","August   ","129.57","593329000","0.09"
"NVDA","2025","1","January  ","135.68","5948400800","-0.51"
"GOOGL","2024","11","November ","172.70","529919300","0.12"
"MSFT","2024","10","October  ","415.85","440745500","-0.32"
"TSLA","2025","7","July     ","314.99","2157408700","0.20"
"TSLA","2025","10","October  ","441.33","2032095000","0.03"
"AMZN","2025","12","December ","229.19","763576700","-0.22"
"GOOGL","2023","1","January  ","92.34","672897800","0.59"
"AMZN","2023","3","March    ","96.55","1349240300","0.27"
"META","2025","9","September","755.21","234427400","-0.25"
"META","2025","11","November ","617.03","416306900","-0.16"
"META","2023","1","January  ","136.30","548770600","1.09"
"GOOGL","2024","4","April    ","156.01","659848400","0.25"
"NVDA","2025","10","October  ","188.24","4031017400","-0.26"
"META","2024","6","June     ","497.97","226116800","0.32"
"NVDA","2023","10","October  ","43.61","10141101000","0.05"
"TSLA","2023","2","February ","199.78","3624845100","0.89"
"AAPL","2023","5","May      ","170.46","1275364700","0.07"
"AAPL","2023","4","April    ","162.84","969776400","0.37"
